Name	Fl	Inventory	Index	BirthCountry	WorkCountry	Ethnicity	Woman
Boscán, Juan 	1530	Literature	3.05	Spain	Spain	Spanish	0
Bosch, Hieronmymus	1490	Art	23.17	Netherlands	Netherlands	Dutch	0
Bossuet, Jacques 	1667	Literature	10.25	France	France	French	0
Botticelli (Filipepi)	1484	Art	30.64	Italy	Italy	Italian	0
Boucher, Francois	1743	Art	16.84	France	France	French	0
Boudin, Eugene	1864	Art	3.06	France	France	French	0
Bourgeois, Loys	1550	Music	1.37	France	France	French	0
Bourget, Paul	1892	Literature	6.22	France	France	French	0
Bouts, Dieric	1455	Art	6.17	Netherlands	Netherlands	Dutch	0
Boyce, William	1751	Music	1.77	Britain	Britain	English	0
Bradley, Francis	1886	Philosophy	4.05	Britain	Britain	English	0
Brahms, Johannes	1873	Music	35.19	Germany	Germany	Germanic	0
Bramantino (Suardi)	1500	Art	1.91	Italy	Italy	Italian	0
Brancusi, Constantin	1916	Art	14.57	Balkans	France	Romanian	0
Brant, Sebastian 	1497	Literature	5.25	Germany	Switzerland	Germanic	0
Brantome, Pierre	1580	Literature	2.01	France	France	French	0
Braque, Georges	1922	Art	27.08	France	France	French	0
Brecht, Bertolt	1938	Literature	17.24	Germany	Germany	Germanic	0
Brederode, Gerbrand	1618	Literature	2.58	Netherlands	Netherlands	Dutch	0
Breitinger, Johann 	1740	Literature	1.93	Switzerland	Switzerland	Germanic	0
Brentano, Clemens 	1818	Literature	12.71	Germany	Germany	Germanic	0
Breton, Andre	1936	Literature	8.66	France	France	French	0
Brezina, Otokar	1908	Literature	2.33	Czech	Czech	Czech	0
Broch, Hermann	1926	Literature	3.77	Austria	Austria	Jewish	0
Brod, Max	1924	Literature	2.62	Czech	Czech	Jewish	0
Broederlam, Melchior	1409	Art	7.18	Belgium	France	Flemish	0
Bronte, Charlotte	1855	Literature	5.00	Britain	Britain	English	1
Bronte, Emily	1848	Literature	5.44	Britain	Britain	English	1
Bronzino, Agnolo	1543	Art	10.27	Italy	Italy	Italian	0
Brouwer, Adriaen	1638	Art	1.55	Belgium	Netherlands	Flemish	0
Brown, Ford Madox	1861	Art	3.33	Britain	Britain	English	0
Browne, Thomas	1645	Literature	2.78	Britain	Britain	English	0
Browning, Elizabeth 	1846	Literature	3.90	Britain	Britain	English	1
Bruch, Max	1878	Music	2.02	Germany	Germany	Germanic	0
Bruck, Arnold	1540	Music	1.00	Belgium	Belgium	Flemish	0
Bruckner, Anton	1864	Music	19.47	Austria	Austria	Germanic	0
Brueghel, Jan	1608	Art	1.85	Belgium	Netherlands	Dutch	0
Brueghel, Pieter the Elder	1565	Art	30.32	Netherlands	Netherlands	Dutch	0
Brumel, Antoine	1500	Music	3.12	France	France	Dutch	0
Bruneau, Alfred	1897	Music	1.64	France	France	French	0
Bruno, Giordano	1588	Philosophy	3.82	Italy	Italy	Italian	0
Bryussov, Valery	1913	Literature	4.93	Russia	Russia	Slavic	0
Buber, Martin	1918	Philosophy	1.53	Austria	Germany	Jewish	0
Büchner, Georg	1837	Literature	6.70	Germany	Germany	Germanic	0
Bull, John	1602	Music	3.21	Britain	Britain	English	0
Bulwer-Lytton, Edward 	1843	Literature	1.75	Britain	Britain	English	0
Bunin, Ivan 	1910	Literature	5.01	Russia	Russia	Slavic	0
Bunyan, John	1668	Literature	7.50	Britain	Britain	English	0
Burck, Joachim a	1586	Music	1.00	Germany	Germany	Germanic	0
Bürger, Gottfried 	1787	Literature	5.27	Germany	Germany	Germanic	0
Burgkmair, Hans the Elder	1513	Art	2.06	Germany	Germany	Germanic	0
Buridan, Jean	1335	Philosophy	1.64	France	France	French	0
Burkhard, Willy	1940	Music	1.10	Switzerland	Switzerland	Germanic	0
Burne-Jones, Edward	1873	Art	4.65	Britain	Britain	English	0
Burney, Charles	1766	Music	3.87	Britain	Britain	English	0
Burns, Robert	1796	Literature	7.16	Britain	Britain	Scots	0
Burton, Robert	1616	Literature	2.97	Britain	Britain	English	0
Busnois, Antoine	1470	Music	2.80	France	Belgium	Flemish	0
Busoni, Ferruccio	1906	Music	8.45	Italy	Germany	Italian	0
Butler, Samuel	1875	Literature	7.20	Britain	Britain	English	0
Buus, Jacques	1540	Music	1.06	Belgium	Belgium	Flemish	0
Buxtehude, Dietrich	1677	Music	7.47	Germany	Denmark	Danish	0
Byrd, William	1583	Music	11.06	Britain	Britain	English	0
Byron, George	1824	Literature	41.70	Britain	Britain	Scots	0
Cabezón, Antonio de	1550	Music	3.44	Spain	Spain	Spanish	0
Caccini, Giulio	1591	Music	7.94	Italy	Italy	Italian	0
Caldara, Antonio	1710	Music	4.54	Italy	Italy	Italian	0
Calderon de la Barca, Pedro 	1640	Literature	22.41	Spain	Spain	Spanish	0
Callimachus	-265	Literature	7.43	Ancient Greece	Ancient Greece	Ancient Greek	0
Callot, Jacques	1633	Art	3.20	France	Italy	French	0
Calvin, John	1549	Philosophy	3.15	France	Switzerland	French	0
Cambert, Robert	1668	Music	2.90	France	France	French	0
Cambiasio, Luca	1567	Art	1.25	Italy	Italy	Italian	0
Camoens, Luis de	1564	Literature	13.95	Portugal	Portugal	Portuguese	0
Campion, Thomas	1607	Music	1.49	Britain	Britain	English	0
Campra, André	1700	Music	3.25	France	France	French	0
Canaletto, Giovanni	1737	Art	9.55	Italy	Italy	Italian	0
Cannabich, Christian	1771	Music	1.70	Germany	Germany	Germanic	0
Cano, Alonso	1641	Art	3.31	Spain	Spain	Spanish	0
Canova, Antonio	1797	Art	18.15	Italy	Italy	Italian	0
Capek, Karel	1930	Literature	3.57	Czech	Czech	Czech	0
Cara, Marchetto 	1510	Music	1.16	Italy	Italy	Italian	0
Caravaggio (Merisi)	1610	Art	43.05	Italy	Italy	Italian	0
Carducci, Giosue	1875	Literature	7.63	Italy	Italy	Italian	0
Carissimi, Giacomo	1645	Music	8.93	Italy	Italy	Italian	0
Carlyle, Thomas	1835	Literature	13.89	Britain	Britain	Scots	0
Carnap, Rudolf	1931	Philosophy	8.75	Germany	Germany	Germanic	0
Carneades of Cyrene	-174	Philosophy	1.74	Ancient Greece	Ancient Greece	Ancient Greek	0
Carossa, Hans	1918	Literature	4.12	Germany	Germany	Germanic	0
Carpaccio, Vittore	1500	Art	4.70	Italy	Italy	Italian	0
Carpeaux, Jean	1867	Art	5.00	France	France	French	0
Carpentras	1508	Music	1.00	France	France	French	0
Carra, Carlo	1921	Art	4.40	Italy	Italy	Italian	0
Carracci, Agostino	1597	Art	2.83	Italy	Italy	Italian	0
Carracci, Annibale	1600	Art	26.26	Italy	Italy	Italian	0
Carracci, Ludovico	1595	Art	5.46	Italy	Italy	Italian	0
Carroll, Lewis	1872	Literature	1.33	Britain	Britain	English	0
Cary, Joyce	1928	Literature	1.08	Britain	Britain	Irish	0
Casella, Alfredo	1923	Music	3.58	Italy	France	Italian	0
Castiglione, Baldassare	1518	Literature	8.32	Italy	Italy	Italian	0
Castiglione, Giuseppe	1656	Art	2.31	Italy	Italy	Italian	0
Catel, Charles	1813	Music	1.18	France	France	French	0
Cats, Jacob	1617	Literature	1.08	Netherlands	Netherlands	Dutch	0
Catullus	-54	Literature	12.25	Rome	Rome	Ancient Roman	0
Cavafy, Constantine	1903	Literature	4.37	Balkans	Balkans	Greek	0
Cavalcanti, Guido	1280	Literature	3.65	Italy	Italy	Italian	0
Cavalieri, Emilio de’ 	1590	Music	4.34	Italy	Italy	Italian	0
Cavalli, Francesco	1642	Music	7.64	Italy	Italy	Italian	0
Cavallini, Pietro	1280	Art	8.93	Italy	Italy	Italian	0
Cavazzoni, Girolamo	1560	Music	1.00	Italy	Italy	Italian	0
Cavazzoni, Marco	1530	Music	1.36	Italy	Italy	Italian	0
Cazzati, Maurizio	1660	Music	1.23	Italy	Italy	Italian	0
Céline, Louis	1934	Literature	4.71	France	France	French	0
Cellini, Benvenuto	1540	Art	12.92	Italy	Italy	Italian	0
Celsus, Aulus	20	Literature	2.02	Rome	Rome	Ancient Roman	0
Cendrars, Blaise	1927	Literature	4.30	Switzerland	Switzerland	French	0
Certon, Pierre	1550	Music	2.40	France	France	French	0
Cervantes Saavedra, Miguel de	1587	Literature	28.75	Spain	Spain	Spanish	0
Cesti, Antonio 	1663	Music	7.47	Italy	Italy	Italian	0
Cezanne, Paul	1879	Art	50.30	France	France	French	0
Chabrier, Alexis	1881	Music	5.01	France	France	French	0
Chagall, Marc	1929	Art	11.97	Russia	France	Jewish	0
Chambonnèires, Jacques  de	1641	Music	3.28	France	France	French	0
Chamisso, Adelbert von	1821	Literature	3.26	France	Germany	French	0
Champaigne, Phillippe de	1642	Art	2.43	Belgium	France	Flemish	0
Chapman, George	1599	Literature	2.69	Britain	Britain	English	0
Chardin, Jean	1739	Art	13.72	France	France	French	0
Charonton, Enguerrand (Quarton)	1450	Art	2.87	France	France	French	0
Charpentier, Gustave	1900	Music	2.25	France	France	French	0
Charpentier, Marc	1683	Music	4.26	France	France	French	0
Chateaubriand, François de	1808	Literature	16.87	France	France	French	0
Chatterton, Thomas	1770	Literature	2.18	Britain	Britain	English	0
Chaucer, Geoffrey	1380	Literature	18.21	Britain	Britain	English	0
Chausson, Ernest	1895	Music	3.17	France	France	French	0
Chekhov, Anton	1900	Literature	24.01	Russia	Russia	Slavic	0
Chénier, André	1794	Literature	9.77	France	France	French	0
Chernyshevsky, Nikolay	1868	Literature	4.43	Russia	Russia	Slavic	0
Cherubini, Luigi	1800	Music	10.22	Italy	France	Italian	0
Chesterton, Gilbert	1914	Literature	5.53	Britain	Britain	English	0
Chiabrera, Gabriello	1592	Literature	2.20	Italy	Italy	Italian	0
Chirico, Giorgio de	1928	Art	12.95	Balkans	France	Greek	0
Chopin, Fryderyk	1849	Music	31.77	Poland	France	Polish	0
Chrétien de Troyes	1184	Literature	14.72	France	France	French	0
Christus, Petrus	1450	Art	5.14	Belgium	Belgium	Flemish	0
Chrysippus of Soli	-242	Philosophy	2.14	Ancient Greece	Ancient Greece	Ancient Greek	0
Cicero	-66	Literature	29.81	Rome	Rome	Ancient Roman	0
Ciconia, Johannes	1375	Music	2.28	Belgium	Italy	Flemish	0
Cima da Conegliano	1499	Art	2.08	Italy	Italy	Italian	0
Cimabue (Cenni di Pepo)	1280	Art	15.94	Italy	Italy	Italian	0
Cimarosa, Domenico	1789	Music	3.27	Italy	Italy	Italian	0
Claude Lorrain (Gelee)	1640	Art	22.71	France	Italy	French	0
Claudel, Paul	1908	Literature	17.60	France	France	French	0
Claudian	450	Literature	1.97	Rome	Rome	Ancient Roman	0
Claudius, Matthias	1780	Literature	2.39	Germany	Germany	Germanic	0
Clemens, Jacobus	1550	Music	3.63	Netherlands	Netherlands	Dutch	0
Clement of Alexandria	190	Philosophy	3.12	Ancient Greece	Ancient Greece	Ancient Greek	0
Clementi, Muzio	1792	Music	4.61	Italy	Britain	Italian	0
Clérambault, Louis 	1716	Music	1.48	France	France	French	0
Clodion (Claude Michel)	1778	Art	3.54	France	France	French	0
Clouet, Francois	1550	Art	1.00	France	France	French	0
Clouet, Jean	1525	Art	2.98	France	France	French	0
Coclico, Adrianus 	1539	Music	1.00	Belgium	Germany	Flemish	0
Cocteau, Jean	1929	Literature	6.57	France	France	French	0
Coleridge, Samuel	1812	Literature	18.38	Britain	Britain	English	0
Colette, Sidonie 	1913	Literature	5.28	France	France	French	1
Collingwood, Robin 	1929	Philosophy	1.75	Britain	Britain	English	0
Collins, Wilkie	1864	Literature	1.57	Britain	Britain	English	0
Columella, Lucius	50	Literature	2.11	Rome	Rome	Ancient Roman	0
Commynes, Philippe de	1487	Literature	1.64	France	France	French	0
Compère, Loyset	1490	Music	1.74	France	Italy	French	0
Comte, Isidore 	1838	Philosophy	5.03	France	France	French	0
Condorcet, Marie	1783	Philosophy	2.66	France	France	French	0
Congreve, William	1710	Literature	4.43	Britain	Britain	English	0
Conrad, Joseph	1897	Literature	10.34	Poland	Britain	Polish	0
Conscience, Hendrik	1852	Literature	3.37	Belgium	Belgium	Flemish	0
Constable, John	1818	Art	27.40	Britain	Britain	English	0
