Name	Fl	Inventory	Index	BirthCountry	WorkCountry	Ethnicity	Woman
Jacob, Max	1916	Literature	3.11	France	France	Jewish	0
Jacobsen, Jens Peter	1885	Literature	5.80	Denmark	Denmark	Danish	0
Jacopo da Bologna	1350	Music	1.94	Italy	Italy	Italian	0
Jacopo da Todi	1270	Music	1.58	Italy	Italy	Italian	0
Jammes, Francis	1908	Literature	5.78	Belgium	France	Flemish	0
Janácek, Leos	1894	Music	7.50	Czech	Czech	Czech	0
Janequin, Clément	1515	Music	5.30	France	France	French	0
Jarry, Alfred	1907	Literature	3.35	France	France	French	0
Jaufre Rudel	1175	Literature	2.01	France	France	French	0
Jean Paul (Richter)	1803	Literature	11.58	Germany	Germany	Germanic	0
Jenkins, John	1632	Music	1.35	Britain	Britain	English	0
Jimenez, Juan	1921	Literature	7.30	Spain	Spain	Spanish	0
Jodelle, Étienne	1572	Literature	2.15	France	France	French	0
Johnson, Samuel	1749	Literature	11.74	Britain	Britain	English	0
Joinville, Jean de	1264	Literature	3.00	France	France	French	0
Jolivet, André	1945	Music	2.75	France	France	French	0
Jommelli, Niccolò	1754	Music	4.39	Italy	Italy	Italian	0
Jongkind, Johan	1859	Art	2.26	Netherlands	France	Dutch	0
Jonson, Ben	1612	Literature	14.67	Britain	Britain	English	0
Jordaens, Jacob	1633	Art	4.10	Belgium	Belgium	Flemish	0
Josquin des Prez	1480	Music	16.98	France	France	French	0
Joyce, James	1922	Literature	29.39	Britain	Britain	Irish	0
Jozsef, Attila	1937	Literature	1.38	Hungary	Hungary	Hungarian	0
Juan de la Cruz, San	1582	Literature	3.96	Spain	Spain	Spanish	0
Juan Manuel	1322	Literature	1.59	Spain	Spain	Spanish	0
Julius Caesar	-62	Literature	17.65	Rome	Rome	Ancient Roman	0
Jung-Stilling, Johann 	1780	Literature	0.90	Germany	Germany	Germanic	0
Justus of Ghent	1460	Art	2.43	Belgium	Belgium	Flemish	0
Juvenal	95	Literature	10.85	Rome	Rome	Ancient Roman	0
Kabalevsky, Dmitry	1944	Music	2.27	Russia	Russia	Slavic	0
Kafka, Franz	1923	Literature	21.82	Czech	Czech	Jewish	0
Kaiser, Georg	1918	Literature	4.86	Germany	Germany	Germanic	0
Kalf, Willem	1659	Art	4.94	Netherlands	Netherlands	Dutch	0
Kandinsky, Vasily	1906	Art	30.62	Russia	Germany	Slavic	0
Kant, Immanuel	1764	Philosophy	73.94	Germany	Germany	Germanic	0
Karamzin, Nikolai	1806	Literature	6.52	Russia	Russia	Slavic	0
Karlfeldt, Erik Axel	1904	Literature	3.21	Sweden	Sweden	Swedish	0
Katayev, Valentin	1937	Literature	2.31	Russia	Russia	Slavic	0
Kauffmann, Angelica	1781	Art	3.09	Switzerland	Italy	French	1
Kazantzakis, Nikos	1925	Literature	4.26	Balkans	Balkans	Greek	0
Keats, John	1821	Literature	25.37	Britain	Britain	English	0
Keiser, Reinhard	1714	Music	5.07	Germany	Germany	Germanic	0
Keller, Gottfried	1859	Literature	9.56	Switzerland	Switzerland	Germanic	0
Kellgren, Johann Henric	1791	Literature	1.45	Sweden	Sweden	Swedish	0
Kerll, Johann von	1667	Music	1.55	Germany	Austria	Germanic	0
Kielland, Alexander	1886	Literature	4.28	Norway	Norway	Norwegian	0
Kierkegaard, Søren	1853	Philosophy	10.27	Denmark	Denmark	Danish	0
Kinck, Hans 	1905	Literature	2.37	Norway	Norway	Norwegian	0
Kipling, Rudyard	1905	Literature	9.47	Britain	Britain	English	0
Kirchner, Ernst 	1920	Art	12.43	Germany	Germany	Germanic	0
Kjerulf, Halfdan	1855	Music	1.00	Norway	Norway	Norwegian	0
Klee, Paul	1919	Art	22.41	Switzerland	Germany	Germanic	0
Kleist, Heinrich von	1811	Literature	12.81	Germany	Germany	Germanic	0
Klimt, Gustav	1902	Art	9.17	Austria	Austria	Germanic	0
Klinger, Freidrich von	1792	Literature	3.64	Germany	Germany	Germanic	0
Klinger, Max	1897	Art	2.59	Germany	Germany	Germanic	0
Klopstock, Friedrich	1764	Literature	16.77	Germany	Germany	Germanic	0
Kneller, Godfrey	1689	Art	1.08	Germany	Britain	Germanic	0
Kochanowski, Jan	1570	Literature	3.36	Poland	Poland	Polish	0
Kodály, Zoltán	1922	Music	7.32	Hungary	Hungary	Hungarian	0
Koechlin, Charles	1907	Music	2.46	France	France	French	0
Kokoschka, Oskar	1928	Art	9.38	Austria	Austria	Germanic	0
Kollwitz, Kathe	1907	Art	7.58	Germany	Germany	Germanic	1
Koltsov, Alexey 	1842	Literature	2.49	Russia	Russia	Slavic	0
Korolenko, Vladimir	1893	Literature	3.15	Russia	Russia	Slavic	0
Kotzebue, August von	1801	Literature	2.30	Germany	Germany	Germanic	0
Krasinski, Zygmunt	1852	Literature	4.47	Poland	Poland	Polish	0
Krenek, Ernst	1940	Music	6.25	Austria	Austria	Germanic	0
Krezla, Miroslav	1933	Literature	2.73	Balkans	Balkans	Croatian	0
Krieger, Adam	1666	Music	1.80	Germany	Germany	Germanic	0
Krieger, Johann 	1689	Music	2.38	Germany	Germany	Germanic	0
Krylov, Ivan 	1808	Literature	3.94	Russia	Russia	Slavic	0
Kuhlau, Friedrich	1826	Music	1.11	Germany	Denmark	Germanic	0
Kuhnau, Johann	1700	Music	4.45	Germany	Germany	Germanic	0
Kupka, Frank (Frantisek)	1911	Art	3.24	Czech	France	Czech	0
Kusser, Johann 	1700	Music	2.04	Austria	Austria	Germanic	0
Kyd, Thomas	1594	Literature	2.82	Britain	Britain	English	0
La Bruyere, Jean de	1685	Literature	10.15	France	France	French	0
La Fontaine, Jean de	1661	Literature	15.30	France	France	French	0
La Rochefoucauld, Duc de	1653	Literature	8.04	France	France	French	0
La Rue, Pierre de	1517	Music	3.17	Belgium	Netherlands	Dutch	0
La Tour, Georges de	1633	Art	11.05	France	France	French	0
Labiche, Eugène	1855	Literature	2.51	France	France	French	0
Laclos, Pierre de 	1781	Literature	4.17	France	France	French	0
Lafayette, Marie	1674	Literature	7.22	France	France	French	1
Laforgue, Jules	1887	Literature	6.38	France	France	French	0
Lagerkvist, Par 	1931	Literature	4.45	Sweden	Sweden	Swedish	0
Lagerlöf, Selma	1899	Literature	8.00	Sweden	Sweden	Swedish	1
Lalo, Édouard	1863	Music	2.79	France	France	Flemish	0
Lamartine, Alphonse de 	1830	Literature	13.90	France	France	French	0
Lambert, Michel	1650	Music	1.00	France	France	French	0
Lancret, Nicolas	1730	Art	1.28	France	France	French	0
Landi, Stefano	1626	Music	3.19	Italy	Italy	Italian	0
Landini, Francesco	1365	Music	5.69	Italy	Italy	Italian	0
Landor, Walter 	1815	Literature	1.70	Britain	Britain	English	0
Lanfranco, Giovanni	1622	Art	2.59	Italy	Italy	Italian	0
Langland, William	1372	Literature	2.12	Britain	Britain	English	0
Lanier, Nicholas	1628	Music	1.11	Britain	Britain	English	0
Lanner, Josef	1841	Music	1.00	Austria	Austria	Germanic	0
Lantins, Hugo de	1430	Music	1.00	Italy	Italy	Italian	0
Larionoff, Mikhail	1921	Art	3.39	Russia	Russia	Slavic	0
Lassus, Orlando	1572	Music	13.52	Belgium	Germany	Flemish	0
Laurana, Francesco	1470	Art	1.78	Balkans	Italy	Croatian	0
Lavater, Johann 	1781	Literature	2.12	Switzerland	Switzerland	Germanic	0
Lawes, Henry	1636	Music	2.03	Britain	Britain	English	0
Lawrence, D.H.	1925	Literature	12.07	Britain	Britain	English	0
Lawrence, Thomas	1809	Art	2.66	Britain	Britain	English	0
Laxness, Halldor	1942	Literature	3.57	Iceland	Iceland	Icelandic	0
Le Jeune, Claude	1568	Music	3.21	France	France	French	0
Le Maistre, Mattheus	1545	Music	1.00	Belgium	Germany	Dutch	0
Le Nain Brothers	1635	Art	5.83	France	France	French	0
Lebrun, Charles	1659	Art	15.18	France	France	French	0
Lechner, Leonhard	1573	Music	1.60	Austria	Germany	Germanic	0
Lecocq, Charles	1872	Music	1.00	France	France	French	0
Leconte de Lisle, Charles	1858	Literature	6.17	France	France	French	0
Leger, Fernand	1921	Art	16.09	France	France	French	0
Legrenzi, Giovanni	1666	Music	4.48	Italy	Italy	Italian	0
Lehmbruck, Wilhelm	1919	Art	3.31	Germany	France	Germanic	0
Leibl, Wilhelm	1884	Art	3.01	Germany	Germany	Germanic	0
Leibniz, Gottfried	1686	Philosophy	27.05	Germany	Germany	Germanic	0
Lely, Peter (van der Faes)	1658	Art	2.01	Germany	Britain	Flemish	0
Lenau, Nikolaus	1842	Literature	5.95	Austria	Austria	Germanic	0
Lenin, Vladimir	1910	Philosophy	4.65	Russia	Russia	Slavic	0
Lenz, Jakob	1791	Literature	4.07	Russia	Germany	Slavic	0
Leo, Leonardo 	1734	Music	3.06	Italy	Italy	Italian	0
Leonardo da Vinci	1492	Art	60.96	Italy	Italy	Italian	0
Leoncavallo, Ruggerio	1898	Music	3.23	Italy	Italy	Italian	0
Leoninus 	1110	Music	4.91	France	France	French	0
Leopardi, Giacomo	1837	Literature	13.51	Italy	Italy	Italian	0
Leopold I	1680	Music	1.17	Austria	Austria	Germanic	0
Lermontov, Mikhail	1841	Literature	12.48	Russia	Russia	Scots	0
Lesage, Alain Rene	1708	Literature	10.85	France	France	French	0
Leskov, Nikolay	1871	Literature	7.30	Russia	Russia	Slavic	0
Lessing, Gotthold 	1769	Literature	19.79	Germany	Germany	Germanic	0
Lesueur, Jean	1800	Music	3.81	France	France	French	0
Leucippus of Miletus	-440	Philosophy	3.34	Ancient Greece	Ancient Greece	Ancient Greek	0
Lewis, Matthew 	1815	Literature	2.01	Britain	Britain	English	0
Lie, Jonas Lauritz Idemil	1873	Literature	5.13	Norway	Norway	Norwegian	0
Liliencron, Detlev von	1884	Literature	4.35	Germany	Germany	Germanic	0
Lillo, George	1733	Literature	1.31	Britain	Britain	English	0
Limbourg Brothers	1500	Art	17.77	France	France	French	0
Lipchitz, Jacques	1931	Art	7.23	Russia	France	Jewish	0
Lippi, Filippino	1497	Art	7.40	Italy	Italy	Italian	0
Lippi, Fra Filippo	1446	Art	8.48	Italy	Italy	Italian	0
Liszt, Franz	1851	Music	44.99	Hungary	Hungary	Hungarian	0
Livy (TItus Livius)	-19	Literature	11.01	Rome	Rome	Ancient Roman	0
Locatelli, Pietro	1735	Music	2.07	Italy	Netherlands	Italian	0
Lochner, Stephan	1450	Art	7.51	Germany	Germany	Germanic	0
Locke, John	1672	Philosophy	37.01	Britain	Britain	English	0
Locke, Matthew	1670	Music	2.57	Britain	Britain	English	0
Loewe, Carl	1836	Music	2.19	Germany	Germany	Germanic	0
Logroscino, Nicola	1738	Music	1.00	Italy	Italy	Italian	0
Lohenstein, Daniel von	1675	Literature	2.94	Germany	Germany	Germanic	0
Lomonosov, Mikhail	1751	Literature	4.19	Russia	Russia	Slavic	0
Longhi, Pietro	1742	Art	3.05	Italy	Italy	Italian	0
Longus of Lesbos	300	Literature	4.58	Ancient Greece	Ancient Greece	Ancient Greek	0
Lönnrot, Elias	1842	Literature	2.61	Finland	Finland	Finnish	0
Lope de Vega	1602	Literature	25.71	Spain	Spain	Spanish	0
Lorenzetti, Ambrogio	1348	Art	14.72	Italy	Italy	Italian	0
Lorenzetti, Pietro	1320	Art	9.88	Italy	Italy	Italian	0
Lorris, Guillaume de	1235	Literature	4.71	France	France	French	0
Lortzing, Albert	1841	Music	3.72	Germany	Germany	Germanic	0
Loti, Pierre (Viaud)	1890	Literature	5.61	France	France	French	0
Lotti, Antonio	1707	Music	2.54	Italy	Italy	Italian	0
Lotto, Lorenzo	1520	Art	8.50	Italy	Italy	Italian	0
Lucan	65	Literature	9.96	Rome	Rome	Ancient Roman	0
Lucas van Leyden	1533	Art	4.09	Netherlands	Belgium	Flemish	0
Lucian of Samosata	157	Literature	9.57	Ancient Greece	Ancient Greece	Ancient Greek	0
Lucilius	-140	Literature	4.38	Rome	Rome	Ancient Roman	0
Lucretius	-55	Literature	12.04	Rome	Rome	Ancient Roman	0
Ludwig, Otto	1853	Literature	2.20	Germany	Germany	Germanic	0
Luis de Leon, Fray	1568	Literature	3.13	Spain	Spain	Spanish	0
Lully, Jean	1672	Music	24.34	Italy	France	Italian	0
Luther, Martin	1523	Music	8.76	Germany	Germany	Germanic	0
Luzzaschi, Luzzasco	1585	Music	2.07	Italy	Italy	Italian	0
Lyly, John	1594	Literature	7.81	Britain	Britain	English	0
Macaulay, Thomas	1840	Literature	3.72	Britain	Britain	English	0
Machado, Antonio	1915	Literature	6.95	Spain	Spain	Spanish	0
Machaut, Guillaume de	1340	Music	11.79	France	France	French	0
Machiavelli, Niccolo	1499	Literature	18.00	Italy	Italy	Italian	0
Mackenzie, Alexander	1887	Music	1.00	Britain	Britain	Scots	0
Macpherson, James	1776	Literature	9.16	Britain	Britain	Scots	0
Maes, Nicolaes (Maas)	1674	Art	1.59	Netherlands	Netherlands	Dutch	0
Maeterlinck, Maurice	1902	Literature	12.97	Belgium	Belgium	Flemish	0
Maffei, Scipione	1715	Literature	1.57	Italy	Italy	Italian	0
Magnasco, Alessandro	1707	Art	2.63	Italy	Italy	Italian	0
Magritte, Rene	1938	Art	11.00	Belgium	Belgium	Flemish	0
Mahler, Gustave	1900	Music	23.15	Czech	Austria	Jewish	0
Maillol, Aristide	1901	Art	6.88	France	France	French	0
Maimonides, Moses	1175	Philosophy	6.45	Spain	Spain	Jewish	0
Maitani, Lorenzo	1315	Art	4.33	Italy	Italy	Italian	0
Malevich, Kasimir	1918	Art	14.63	Russia	Russia	Slavic	0
Malherbe, François de	1595	Literature	10.21	France	France	French	0
Malipiero, Gian	1922	Music	5.03	Italy	Italy	Italian	0
Mallarme, Stéphane	1882	Literature	21.14	France	France	French	0
Malory, Thomas	1470	Literature	2.98	Britain	Britain	English	0
Malouel, Jean	1400	Art	2.55	Netherlands	Netherlands	Dutch	0
Malraux, Andre	1941	Literature	7.29	France	France	French	0
Mandelstam, Osip	1932	Literature	2.29	Russia	Russia	Jewish	0
Mandeville, Bernard	1710	Literature	0.62	Netherlands	Britain	Dutch	0
Manelli, Francesco	1634	Music	1.03	Italy	Italy	Italian	0
Manet, Edouard	1872	Art	33.52	France	France	French	0
Manichaeus	256	Philosophy	5.02	Rome	Rome	Ancient Roman	0
Mann, Heinrich	1911	Literature	4.25	Germany	Germany	Germanic	0
Mann, Thomas	1915	Literature	18.45	Germany	Germany	Germanic	0
Mantegna, Andrea	1471	Art	29.52	Italy	Italy	Italian	0
Manzoni, Alessandro	1825	Literature	12.76	Italy	Italy	Italian	0
Marazzoli, Marco	1642	Music	1.00	Italy	Italy	Italian	0
Marc, Franz	1916	Art	8.67	Germany	Germany	Germanic	0
Marcello, Benedetto	1726	Music	3.19	Italy	Italy	Italian	0
Marcus Aurelius	161	Literature	8.62	Rome	Rome	Ancient Roman	0
Marees, Hans von	1877	Art	1.50	Germany	Germany	Germanic	0
Marenzio, Luca	1593	Music	5.80	Italy	Italy	Italian	0
Margaret of Angouleme	1532	Literature	6.90	Spain	Spain	Spanish	1
Marie de France	1175	Literature	6.59	France	France	French	1
Marinetti, Filippo	1916	Literature	3.57	Italy	Italy	Italian	0
Marini, Biagio	1627	Music	2.34	Italy	Germany	Italian	0
Marino, Giovan	1609	Literature	7.81	Italy	Italy	Italian	0
Marivaux, Pierre de	1728	Literature	13.51	France	France	French	0
Marlowe, Christopher	1593	Literature	14.70	Britain	Britain	English	0
Marmontel, Jean	1763	Literature	3.25	France	France	French	0
Marot, Clément	1536	Literature	5.45	France	France	French	0
Marschner, Heinrich	1835	Music	4.26	Germany	Germany	Germanic	0
Martial, Marcus	80	Literature	6.81	Rome	Rome	Ancient Roman	0
Martin du Gard, Roger 	1921	Literature	6.48	France	France	French	0
Martin, Frank	1930	Music	3.40	Switzerland	Switzerland	French	0
Martinu, Bohuslav	1930	Music	3.30	Czech	Czech	Czech	0
Marvell, Andrew	1661	Literature	3.87	Britain	Britain	English	0
Masaccio (Cassai)	1428	Art	40.63	Italy	Italy	Italian	0
Mascagni, Pietro	1903	Music	3.07	Italy	Italy	Italian	0
Masefield, John	1918	Literature	2.26	Britain	Britain	English	0
Masolino da Panicale	1423	Art	6.57	Italy	Italy	Italian	0
Massenet, Jules 	1882	Music	8.53	France	France	French	0
Massinger, Philip	1623	Literature	2.17	Britain	Britain	English	0
Masson, Andre	1936	Art	3.22	France	France	French	0
Massys, Quentin	1505	Art	1.46	Belgium	Belgium	Dutch	0
Master Bertram of Minden	1385	Art	1.00	Germany	Germany	Germanic	0
Master Francke	1420	Art	1.47	Germany	Germany	Germanic	0
Master of Flemalle 	1415	Art	10.14	Belgium	Belgium	Flemish	0
Matisse, Henri	1909	Art	38.30	France	France	French	0
Mattheson, Johann	1721	Music	5.41	Germany	Germany	Germanic	0
Maturin, Charles	1822	Literature	1.94	Britain	Britain	Irish	0
Mauduit, Jacques	1597	Music	1.66	France	France	French	0
Maugham, Somerset	1914	Literature	4.50	Britain	Britain	English	0
Maupassant, Guy de	1890	Literature	13.56	France	France	French	0
Mauriac, Francois	1925	Literature	9.28	France	France	French	0
Mayakovsky, Vladimir	1930	Literature	16.29	Russia	Russia	Slavic	0
Mayr, Simon	1803	Music	2.36	Germany	Germany	Germanic	0
Mazzini, Giuseppe	1845	Literature	2.68	Italy	Italy	Italian	0
Mazzocchi, Domenico	1632	Music	1.86	Italy	Italy	Italian	0
Mazzocchi, Virgilio	1637	Music	1.05	Italy	Italy	Italian	0
Méhul, Étienne	1803	Music	5.19	France	France	French	0
Meilhac, Henri	1871	Literature	1.74	France	France	French	0
Meleager of Gadara	-100	Literature	1.64	Ancient Greece	Ancient Greece	Ancient Greek	0
Melo, Francisco de 	1648	Literature	3.23	Portugal	Portugal	Portuguese	0
Melozzo da Forli	1478	Art	2.44	Italy	Italy	Italian	0
Memling, Hans	1477	Art	9.76	Germany	Belgium	Germanic	0
Menander of Athens	-303	Literature	9.02	Ancient Greece	Ancient Greece	Ancient Greek	0
Mendelssohn, Felix	1847	Music	29.85	Germany	Germany	Jewish	0
Mendelssohn, Moses	1769	Philosophy	1.77	Germany	Germany	Jewish	0
Mengs, Anton Raffael	1768	Art	4.01	Czech	Germany	Czech	0
Menzel, Adolf	1855	Art	3.80	Germany	Germany	Germanic	0
Mercandante, Saverio	1835	Music	1.49	Italy	Italy	Italian	0
Meredith, George	1868	Literature	7.79	Britain	Britain	English	0
Merezhkovski, Dmitri	1905	Literature	6.15	Russia	Russia	Slavic	0
Mérimée Prosper	1843	Literature	6.38	France	France	French	0
Merleau-Ponty, Maurice	1948	Philosophy	3.15	France	France	French	0
Merulo, Claudio	1573	Music	3.34	Italy	Italy	Italian	0
Messiaen, Olivier	1948	Music	13.45	France	France	French	0
Metastasio, Pietro (Trapassi)	1738	Literature	6.32	Italy	Italy	Italian	0
Metsu, Gabriel	1667	Art	1.16	Netherlands	Netherlands	Dutch	0
Meung, Jean de	1290	Literature	2.45	France	France	French	0
Meunier, Constantin	1871	Art	2.40	Belgium	Belgium	Flemish	0
Meyer, Conrad	1865	Literature	8.53	Switzerland	Switzerland	Germanic	0
Meyerbeer, Giacomo	1831	Music	14.14	Germany	France	Jewish	0
Michaux, Henri	1938	Literature	2.23	Belgium	Belgium	Flemish	0
Michelangelo Buonarroti	1515	Art	100.00	Italy	Italy	Italian	0
Michelet, Jules	1838	Literature	3.03	France	France	French	0
Mickiewicz, Adam	1838	Literature	11.67	Poland	Poland	Polish	0
Middleton, Thomas	1620	Literature	2.29	Britain	Britain	English	0
Milán, Luis de	1540	Music	1.94	Spain	Spain	Spanish	0
Milhaud, Darius	1932	Music	12.81	France	France	Jewish	0
Mill, James	1813	Philosophy	2.14	Britain	Britain	Scots	0
Mill, John	1846	Philosophy	12.41	Britain	Britain	English	0
Millais, John 	1869	Art	3.70	Britain	Britain	English	0
Millet, Jean	1854	Art	15.73	France	France	French	0
Milton, John	1648	Literature	31.56	Britain	Britain	English	0
Minne, George	1906	Art	1.42	Belgium	Belgium	Flemish	0
Miranda, Francisco	1521	Literature	2.50	Portugal	Portugal	Portuguese	0
Miro, Joan	1933	Art	14.60	Spain	Spain	Spanish	0
Mistral, Frederic	1870	Literature	4.87	France	France	French	0
Modersohn-Becker, Paula	1907	Art	1.62	Germany	Germany	Germanic	1
Modigliani, Amedeo	1920	Art	6.90	Italy	France	Jewish	0
Moe, Jørgen	1853	Literature	0.70	Norway	Norway	Norwegian	0
Moholy-Nagy, Laszlo	1935	Art	7.27	Hungary	Hungary	Jewish	0
Molière, Jean	1662	Literature	43.37	France	France	French	0
Molina, Tirso de (Tellez)	1620	Literature	5.88	Spain	Spain	Spanish	0
Mombert, Alfred	1912	Literature	0.60	Germany	Germany	Germanic	0
Mondrian, Piet	1912	Art	23.51	Netherlands	Netherlands	Dutch	0
Monet, Claude	1880	Art	40.70	France	France	French	0
Monn, Matthias 	1750	Music	1.02	Austria	Austria	Germanic	0
Monsigny, Pierre	1769	Music	2.97	France	France	French	0
Montaigne, Michel de	1573	Literature	15.72	France	France	Jewish	0
Montale, Eugenio	1936	Literature	4.37	Italy	Italy	Italian	0
Monte, Philipp de	1561	Music	3.18	Belgium	Belgium	Flemish	0
Montemayor, Jorge de	1555	Literature	6.14	Portugal	Spain	Portuguese	0
Montesquieu, Baron de	1729	Literature	16.75	France	France	French	0
Montesquieu, Charles	1729	Philosophy	3.84	France	France	French	0
Monteverdi, Claudio	1607	Music	30.88	Italy	Italy	Italian	0
Montherlant, Henri de	1936	Literature	6.36	France	France	French	0
Monti, Vincenzo	1794	Literature	2.86	Italy	Italy	Italian	0
Moore, George E.	1913	Philosophy	4.03	Britain	Britain	English	0
Moore, Henry	1938	Art	10.50	Britain	Britain	English	0
Moore, Thomas	1819	Literature	2.49	Britain	Britain	Irish	0
Mor van Dashorst, Anthonis	1560	Art	1.50	Netherlands	Netherlands	Dutch	0
Morales, Cristóbal de	1540	Music	2.47	Spain	Italy	Spanish	0
Morandi, Giorgio	1930	Art	4.85	Italy	Italy	Italian	0
Moravia, Alberto (Pincherle)	1947	Literature	7.56	Italy	Italy	Jewish	0
More, Thomas	1518	Literature	6.88	Britain	Britain	English	0
Moreas, Jean	1896	Literature	6.61	Balkans	France	Greek	0
Moreau, Gustave	1866	Art	7.14	France	France	French	0
Moreto y Cabana, Augustin	1658	Literature	1.90	Spain	Spain	Spanish	0
Moretto (Bonvicino)	1538	Art	2.76	Italy	Italy	Italian	0
Morgenstern, Christian	1911	Literature	3.39	Germany	Germany	Germanic	0
Mörike, Eduard	1844	Literature	6.23	Germany	Germany	Germanic	0
Morisot, Berthe	1881	Art	4.44	France	France	French	1
Morley, Thomas	1597	Music	6.25	Britain	Britain	English	0
Moroni, Giambattista	1565	Art	1.74	Italy	Italy	Italian	0
Morris, William	1874	Art	14.10	Britain	Britain	English	0
Moschus of Syracus	-150	Literature	1.63	Ancient Greece	Ancient Greece	Ancient Greek	0
Moser, Lukas	1431	Art	1.03	Germany	Germany	Germanic	0
Mouton, Jean	1499	Music	2.64	France	France	French	0
Mozart, Leopold	1759	Music	6.09	Germany	Austria	Germanic	0
Mozart, Wolfgang	1791	Music	100.00	Austria	Austria	Germanic	0
Mudarra, Alonso	1548	Music	1.00	Spain	Spain	Spanish	0
Muffat, Georg	1693	Music	2.41	Germany	Austria	Germanic	0
Müller, Friedrich Max	1789	Literature	1.43	Germany	Germany	Germanic	0
Müller, Wenzel	1807	Music	1.00	Czech	Austria	Czech	0
Multatuli (Dekker)	1860	Literature	2.72	Netherlands	Netherlands	Dutch	0
Munch, Edvard	1903	Art	20.20	Norway	Norway	Norwegian	0
Murger, Henri	1861	Literature	2.93	France	France	French	0
Murillo, Bartolome	1657	Art	6.97	Spain	Spain	Spanish	0
Murner, Thomas	1515	Literature	1.26	Germany	Germany	Germanic	0
Musaeus	500	Literature	1.99	Ancient Greece	Ancient Greece	Ancient Greek	0
Musil, Robert	1920	Literature	4.35	Austria	Austria	Germanic	0
Musset, Louis de	1850	Literature	15.06	France	France	French	0
Mussorgsky , Modest	1879	Music	15.61	Russia	Russia	Slavic	0
Myaskovsky, Nikolay	1921	Music	1.68	Russia	Russia	Slavic	0
Myslivecek, Josef	1777	Music	1.00	Czech	Czech	Czech	0
Nanino, Giovanni Maria	1583	Music	1.22	Italy	Italy	Italian	0
Nanni di Banco	1415	Art	5.00	Italy	Italy	Italian	0
Narváez, Luys de	1540	Music	1.00	Spain	Spain	Spanish	0
Nashe, Thomas	1601	Literature	2.21	Britain	Britain	English	0
Neefe, Christian	1788	Music	1.63	Germany	Germany	Germanic	0
Neidhart von Reuental	1220	Music	1.10	Germany	Germany	Germanic	0
Nekrasov, Nikolay	1861	Literature	5.84	Russia	Russia	Slavic	0
Nemcova, Bozena	1860	Literature	2.72	Germany	Czech	Germanic	1
Nemeth, Laszlo	1941	Literature	1.48	Hungary	Hungary	Hungarian	0
Neruda, Jan	1874	Literature	2.80	Czech	Czech	Czech	0
Nerval, Gerard de (Labrunie)	1848	Literature	6.73	France	France	French	0
Nestroy, Johann	1841	Literature	2.10	Austria	Austria	Germanic	0
Neurath, Otto	1922	Philosophy	2.20	Austria	Austria	Jewish	0
Neusidler, Hans	1548	Music	1.09	Germany	Germany	Germanic	0
Newman, John Henry	1841	Literature	2.58	Britain	Britain	English	0
Nexø, Martin Anderson 	1909	Literature	4.02	Denmark	Denmark	Danish	0
Nicholas de Malebranche	1678	Philosophy	6.95	France	France	French	0
Nicholas of Cusa	1441	Philosophy	5.38	Germany	Germany	Germanic	0
Nicholas of Oresme	1365	Philosophy	1.69	France	France	French	0
Nicholson, Ben	1934	Art	3.45	Britain	Britain	English	0
Nicolai, Otto	1849	Music	2.37	Germany	Germany	Germanic	0
Nielsen, Carl August	1905	Music	3.20	Denmark	Denmark	Danish	0
Nietzsche, Friedrich	1884	Philosophy	20.10	Germany	Switzerland	Germanic	0
Nievo, Ippolito	1861	Literature	2.27	Italy	Italy	Italian	0
Njegos, Peter	1851	Literature	1.40	Balkans	Balkans	Slavic	0
Nolde, Emil	1907	Art	10.47	Germany	Germany	Germanic	0
Novák, Vitezslav	1910	Music	1.21	Czech	Czech	Czech	0
Novalis (von Hardenberg)	1801	Literature	13.03	Germany	Germany	Germanic	0
O’Casey, Sean	1924	Literature	2.71	Britain	Britain	Irish	0
Obrecht, Jacob	1470	Music	5.20	Netherlands	Netherlands	Dutch	0
Ockeghem, Johannes	1450	Music	8.45	France	France	Flemish	0
Oehlenschlaeger, Adam	1819	Literature	6.86	Denmark	Denmark	Danish	0
Offenbach, Jacques	1859	Music	5.70	Germany	France	Jewish	0
Olesha, Yuri	1939	Literature	1.52	Russia	Russia	Slavic	0
Opitz, Martin	1637	Literature	5.20	Germany	Germany	Germanic	0
Orcagna (Andrea di Cione)	1348	Art	3.60	Italy	Italy	Italian	0
Orff, Carl	1925	Music	4.90	Germany	Germany	Germanic	0
Origen (Adamantius)	225	Philosophy	4.66	Ancient Greece	Ancient Greece	Ancient Greek	0
Orto, Marbrianus	1500	Music	1.00	Belgium	Netherlands	Flemish	0
Orwell, George (Blair)	1943	Literature	2.52	Britain	Britain	English	0
Osiander, Lucas	1574	Music	1.00	Germany	Germany	Germanic	0
Ostrovsky, Aleksandr	1863	Literature	5.34	Russia	Russia	Slavic	0
Otway, Thomas	1685	Literature	2.07	Britain	Britain	English	0
Overbeck, Johann	1829	Art	4.10	Germany	Italy	Germanic	0
Ovid	-3	Literature	29.17	Rome	Rome	Ancient Roman	0
Ozenfant, Amedee	1926	Art	1.89	France	France	French	0
Pachelbel, Johann	1693	Music	4.36	Germany	Germany	Germanic	0
Pacher, Michael	1475	Art	7.60	Austria	Austria	Germanic	0
Paër, Ferdinando	1811	Music	2.12	Italy	Italy	Italian	0
Paisiello, Giovanni	1780	Music	4.94	Italy	Italy	Italian	0
